The%20communication%20protocol%20NFC%20stands%20for%20Near-Field%20Control.,False
Mobile%20hardware%20and%20software%20company%20%22Blackberry%20Limited%22%20was%20founded%20in%20which%20country%3F,Canada
Microphones%20can%20be%20used%20not%20only%20to%20pick%20up%20sound%2C%20but%20also%20to%20project%20sound%20similar%20to%20a%20speaker.,True
When%20was%20the%20Tamagotchi%20digital%20pet%20released%3F,1996
When%20was%20the%20DVD%20invented%3F,1995
What%20is%20the%20%22Mitsubishi%20Wakamaru%22%3F,A%20robot
Which%20company%20developed%20the%20Hololens%3F,Microsoft
Which%20of%20the%20following%20is%20the%20standard%20THX%20subwoofer%20crossover%20frequency%3F,80%20Hz
Who%20patented%20a%20steam%20engine%20that%20produced%20continuous%20rotary%20motion%3F,James%20Watt
The%20term%20%22battery%22%20to%20describe%20an%20electrical%20storage%20device%20was%20coined%20by%3F,Benjamin%20Franklin
What%20round%20is%20a%20classic%20AK-47%20chambered%20in%3F,7.62x39mm
In%20what%20year%20was%20the%20Oculus%20Rift%20revealed%20to%20the%20public%20through%20a%20Kickstarter%20campaign%3F,2012
Which%20company%20designed%20the%20%22Betamax%22%20video%20cassette%20format%3F,Sony
Which%20buzzword%20did%20Apple%20Inc.%20use%20to%20describe%20their%20removal%20of%20the%20headphone%20jack%3F,Courage
Which%20round%20does%20a%20WW2%20M1%20Garand%20fire%3F,.30-06
Which%20of%20the%20following%20cellular%20device%20companies%20is%20NOT%20headquartered%20in%20Asia%3F,Nokia
When%20did%20the%20CD%20begin%20to%20appear%20on%20the%20consumer%20market%3F,1982
Who%20built%20the%20first%20laser%3F,Theodore%20Harold%20Maiman
Out%20of%20all%20of%20the%20NASA%20Space%20Shuttles%2C%20which%202%20have%20been%20destroyed%20in%20disasters%3F,Challenger%20and%20Columbia
When%20was%20the%20iPhone%20released%3F,2007
Which%20of%20the%20following%20is%20used%20to%20measure%20blood%20pressure%3F,Sphygmomanometer
What%20is%20the%20most%20significant%20side%20venture%20the%20popular%20firearms%20company%2C%20Remington%2C%20has%20pursued%3F,Typewriters
The%20Western%20Electric%20Model%20500%20telephone%20uses%20tone%20dialing%20to%20dial%20phone%20numbers.,False
What%20are%20the%20base%20station%20trackers%20used%20for%20the%20HTC%20Vive%20called%3F,Lighthouse
